canonical_id,canonical_name,canonical_type,n_members,example_members
Can_4a7a1cd6,temper embrittlement,DamageMechanism,9,temper embrittlement | temper embrittlement | temper embrittlement | temper embrittlement | temper embrittlement
Can_adc6502d,brittle fracture,FailureEvent,9,brittle fracture | brittle fracture | brittle fracture | brittle fracture | brittle fracture
Can_f055795b,American Petroleum Institute,Organization,8,American Petroleum Institute | American Petroleum Institute | American Petroleum Institute | American Petroleum Institute | American Petroleum Institute
Can_8b0ed054,spheroidization,DamageMechanism,7,spheroidization | spheroidization | spheroidization | spheroidization | spheroidization
Can_2a0267df,API RP 579,ReferenceDocument,7,API RP 579 | API RP 579 | API RP 579 | API RP 579 | API RP 579
Can_e1e3db1c,Austenitic stainless steels,Material,6,Austenitic stainless steels | austenitic stainless steels | austenitic stainless steels | austenitic stainless steels | austenitic stainless steels
Can_5288ecab,Heat Affected Zone (HAZ),Component,6,Heat Affected Zone (HAZ) | Heat Affected Zone | Heat Affected Zone (HAZ) | Heat Affected Zone | Heat Affected Zone
Can_6c52c4de,National Association of Corrosion Engineers,Organization,6,NACE | NACE | National Association of Corrosion Engineers | National Association of Corrosion Engineers | NACE
Can_87e7a050,metals and alloys,Material,6,metals and alloys | alloy | all metals and alloys | metals | alloys
Can_357dfd70,Carbon steels,Material,6,Carbon steel | carbon steels | carbon steels | carbon steels | carbon steels
Can_ec2fa4cb,The NALCO Guide to Boiler Failure Analysis,Publication,5,The NALCO Guide To Boiler Failure Analysis | The NALCO Guide To Boiler Failure Analysis | The NALCO Guide To Boiler Failure Analysis | The NALCO Guide to Boiler Failure Analysis | The NALCO Guide to Boiler Failure Analysis
Can_9cbb178e,creep damage,DamageMechanism,5,creep damage | creep damage | creep damage | creep damage | creep damage
Can_aa5902d1,"Materials Park, OH",Location,5,"Materials Park, OH | Materials Park, OH | Materials Park, OH | Materials Park, OH | Materials Park, OH"
Can_209f6852,Damage Mechanisms and Life Assessment of High Temperature Components,Publication,5,Damage Mechanisms and Life Assessment of High Temperature Components | Damage Mechanisms and Life Assessment of High Temperature Components | Damage Mechanisms and Life Assessment of High Temperature Components | Damage Mechanisms and Life Assessment of High Temperature Components | Damage Mechanisms and Life Assessment of High Temperature Components
Can_4c8416e0,fired heater tubes,Component,5,fired heater tubes | fired heater tubes | fired heater tubes | fired heater tubes | fired heater tubes
Can_2d5f0bab,Krieger Publishing Co.,Publisher,5,Krieger Publishing Co. | Krieger Publishing Co. | Krieger Publishing Co. | Krieger Co. | Krieger Co.
Can_3767bbb3,"John Wiley & Sons, Inc.",Publisher,5,"John Wiley & Sons | John Wiley & Sons, Inc. | John Wiley & Sons, Inc. | John Wiley and Sons | John Wiley and Sons"
Can_e3a50eea,R. Viswanathan,Author,5,R. Viswanathan | R. Viswanathan | R. Viswanathan | R. Viswanathan | R.Viswanathan
Can_8c1184f4,885°F (475°C) embrittlement,DamageMechanism,5,885°F (475°C) embrittlement | 885°F embrittlement | 885°F embrittlement | 885oF (475oC) embrittlement | 885oF embrittlement
Can_3290e169,API Publication 581,ReferenceDocument,5,Publ. 581 Risk-Based Inspection - Base Resource Document | Risk-Based Inspection - Base Resource Document | API Publication 581 | API Publication 581 | API Publication 581
Can_8616b4e1,cavitation prevention techniques,MitigationAction,5,streamline the flow path | decrease fluid velocities | remove entrained air | alter the fluid properties | flow stabilization techniques
Can_61be4209,cavitation,DamageMechanism,5,cavitation | cavitation | cavitation | cavitation | cavitation
Can_308d24a0,creep deformation,DamageMechanism,4,creep deformation | creep | creep deformation | creep
Can_b81ae8c2,Metallographic Examination,InspectionMethod,4,metallographic examination | metallography | metallographic observation | metallographic examination
Can_dd6d0752,impact testing,InspectionMethod,4,impact testing | impact testing | impact testing | impact testing
Can_537d312b,H. Thielsch,Person,4,H. Thielsch | Thielsch | H. Thielsch | Thielsch
Can_3119bcf1,carbon steel,Material,4,carbon steel | carbon steel | carbon steel | Carbon steel
Can_1b20cb44,NY,Location,4,NY | NY | NY | NY
Can_5510533d,Defects and Failures In Pressure Vessels and Piping,ReferenceMaterial,4,Defects And Failures In Pressure Vessels and Piping | Defects And Failures In Pressure Vessels and Piping | Defects and Failures In Pressure Vessels and Piping | Defects and Failures In Pressure Vessels and Piping
Can_7eaec38c,visual inspection,InspectionMethod,4,visual inspection | visual inspection | visual inspection | visual inspection
Can_443bdcf0,Short Term Overheating,DamageMechanism,4,Short Term Overheating | short term overheating | short term overheating | short term overheating
Can_ba94681a,EPRI,Organization,4,EPRI | EPRI | EPRI | EPRI
Can_652c592d,1993,TemporalQualifier,4,1993 | 1993 | 1993 | 1993
Can_e0b400fd,strain aging,DamageMechanism,4,strain aging | strain aging | strain aging | strain aging
Can_524115e2,300 Series SS,Material,4,Wrought and cast 300 Series SS | 300 Series SS | 300 Series SS | 300 Series SS
Can_adb85ce9,NACE International,Organization,4,NACE | NACE | NACE International | NACE International
Can_7ebf73bc,2.25Cr-1Mo steel,Material,4,quenched and tempered 2-1/4Cr-1Mo steel | 2.25Cr-1Mo low alloy steel | 2.25Cr-1Mo steels | 2-1/4 Cr-1Mo Steel
Can_5538cdef,Duplex stainless steels,Material,4,Duplex stainless steel | Duplex stainless steels | duplex stainless steels | duplex stainless steels
Can_59913a04,MT,InspectionMethod,4,MT | MT | MT | MT
Can_c5006344,PT,InspectionMethod,4,PT | PT | PT | PT
